td_or_asd,FSR,TDNorm_avg_PE,overall_avg_PE,TDnorm_concept_learning,overall_concept_learning,free_response_TDprof_norm,FSR_scaled,TDNorm_avg_PE_scaled,overall_avg_PE_scaled,personality_inference_mentioned,personality_inference_positive,personality_inference_negative,personality_inference_neutral,sweets_mentioned,sweets_positive,sweets_negative,sweets_neutral,Fruits_and_vegetables_mentioned,Fruits_and_vegetables_positive,Fruits_and_vegetables_negative,Fruits_and_vegetables_neutral,healthy_savory_food_mentioned,healthy_savory_food_positive,healthy_savory_food_negative,healthy_savory_food_neutral,food_mentioned,food_positive,food_negative,food_neutral,cosmetics_mentioned,cosmetics_positive,cosmetics_negative,cosmetics_neutral,fashion_mentioned,fashion_positive,fashion_negative,fashion_neutral,toys_gadgets_and_games_mentioned,toys_gadgets_and_games_positive,toys_gadgets_and_games_negative,toys_gadgets_and_games_neutral,sports_mentioned,sports_positive,sports_negative,sports_neutral,music_mentioned,music_positive,music_negative,music_neutral,arts_and_crafts_mentioned,arts_and_crafts_positive,arts_and_crafts_negative,arts_and_crafts_neutral,word_count,sentence_count,char_count,avg_word_length,avg_sentence_length,shortness_score,lexical_diversity,sentiment_polarity,sentiment_subjectivity,positive_word_count,negative_word_count,positive_word_ratio,negative_word_ratio,flesch_reading_ease,flesch_kincaid_grade
1,40.0,4.21666666666667,5.48333333333333,0.17602243263149,0.0890547412766829,hates (not all) sweets,0.45162931930336964,-1.1134832382210629,-0.8919709549530876,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,22.0,3.1666666666666665,6.0,0.14285714285714285,1.0,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,118.17500000000001,-2.2299999999999986
1,56.0,6.55,7.04444444444444,-0.190309395734873,-0.161700885096541,"He likes berries, but doesn't like chocolate. He likes music ",1.3343676691025952,0.7192240800637942,0.6366048876028335,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,61.0,3.923076923076923,6.5,0.07142857142857142,0.8461538461538461,0.0,0.0,3.0,0.0,0.23076923076923078,0.0,83.32000000000004,2.879999999999999
1,48.0,4.9,5.64444444444444,0.132089853160048,-0.0227381873906767,"Likes fruit, he was ok with sports, he seemed to like the cookie. He didn't like chocolate, he liked some music, and he somewhat liked games.",0.8929984942029824,-0.576761809294785,-0.7342175761839718,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.0,2.0,141.0,3.515151515151515,16.5,0.029411764705882353,0.696969696969697,0.5666666666666668,0.7000000000000001,3.0,0.0,0.09090909090909091,0.0,89.51692307692309,4.003076923076925
1,63.0,4.91666666666667,6.07777777777778,0.0433093251086991,0.0597661939897216,He likes his veggies and desserts.,1.7205656971397563,-0.5636710427356054,-0.30991538501185883,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,34.0,4.142857142857143,7.0,0.125,1.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,87.94500000000002,2.4833333333333343
0,6.0,6.8,6.87222222222222,0.281226932172179,0.147404726874051,I learned that he like fruit and other cool stuff like rice and chicken and does not like dominos and other stuff,-1.4241896740199846,0.9155855784514578,0.467971965470332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,113.0,4.181818181818182,22.0,0.043478260869565216,0.6818181818181818,-0.125,0.5874999999999999,4.0,1.0,0.18181818181818182,0.045454545454545456,80.67772727272727,7.471818181818183
1,31.0,4.08333333333333,5.68888888888889,0.038096016988305,-0.0542822672944521,they really like some desserts and fruits,-0.04491100245869471,-1.2182093706944888,-0.6906994027304173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,41.0,5.0,7.0,0.125,1.0,0.2,0.2,1.0,0.0,0.14285714285714285,0.0,90.95857142857145,2.3114285714285714
1,40.0,7.3,7.16111111111111,-0.0033703819513862,-0.0140454421008926,"loves tomato and bacon
likes chess",0.45162931930336964,1.308308575226785,0.7508400929184038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,34.0,4.833333333333333,6.0,0.14285714285714285,1.0,0.0,0.0,2.0,0.0,0.3333333333333333,0.0,73.84500000000001,4.450000000000003
0,3.0,6.56666666666667,6.49444444444444,0.0774226298537943,0.110177560495318,"She likes food, and really liked candy. She liked things that made sounds and patterns.",-1.5897031146073393,0.7323148466229745,0.09806749111516001,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,2.0,87.0,4.055555555555555,9.0,0.05263157894736842,0.7777777777777778,0.6,0.8,1.0,0.0,0.05555555555555555,0.0,97.7025,1.495000000000001
1,60.0,5.78333333333333,6.07543859649123,0.18318996548176,0.225335457576096,"Likes a lot of different foods, doesn't really like sports ",1.5550522565524014,0.1170488183416231,-0.31220581519362517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,59.0,4.083333333333333,12.0,0.07692307692307693,1.0,0.1,0.4,2.0,0.0,0.16666666666666666,0.0,78.24500000000002,4.830000000000002
1,53.0,4.93333333333333,5.54166666666667,0.0758814671806098,0.296489575042259,"Riley likes basketball, guitar, cake and carrots.",1.1688542285152403,-0.5505802761764328,-0.8348533522952978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,49.0,4.3,10.0,0.09090909090909091,0.9,0.0,0.0,1.0,0.0,0.1,0.0,54.70142857142861,7.368571428571428
1,41.0,9.81666666666667,9.70555555555556,0.251511673557423,0.168273924990451,Silly,0.5068004661658212,3.285014325662601,3.2422555231341113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,0.5,1.0,-0.5,0.875,0.0,0.0,0.0,0.0,36.62000000000003,8.400000000000002
